8804455,13.482,19 00 33.192,+45 00 16.34,285.13833,45.0045,5627,4.735,19006+4500,KOI2159,AB   ,2012,2014,323,324,2,2,13.48,16.7,N  R,0.064,13.921,13.417,12.32,12.332,0.504,0.628,1.94,1.601,0.03,0.904,24
8804455,13.482,19 00 33.192,+45 00 16.34,285.13833,45.0045,5627,4.735,19006+4500,KOI2159,AC   ,1998,2013,322,323,6.9,6.9,13.48,15,N  R,0.064,13.921,13.417,12.32,12.332,0.504,0.628,1.94,1.601,0.03,0.904,24
4242692,13.194,19 00 35.177,+39 22 14.84,285.14654,39.37078,6219,4.093,19006+3922,KOI3928,     ,2014,2014,265,265,3,3,13.3,14.5,R   ,0.123,13.507,13.161,12.141,12.186,0.346,0.448,1.735,1.366,0.034,0.912,207
6425957,13.506,19 01 08.909,+41 51 40.21,285.28708,41.86117,4156,4.532,19011+4152,KOI 663,AB   ,2012,2012,126,126,1.8,1.8,10.8,19.2,K   ,0.028,14.649,13.469,11.608,11.544,1.18,1.633,3.816,3.041,0.02,0.906,66
6425957,13.506,19 01 08.909,+41 51 40.21,285.28708,41.86117,4156,4.532,19011+4152,KOI 663,AC   ,2012,2012,62,62,3.2,3.2,10.8,17.4,K   ,0.028,14.649,13.469,11.608,11.544,1.18,1.633,3.816,3.041,0.02,0.906,66
6425957,13.506,19 01 08.909,+41 51 40.21,285.28708,41.86117,4156,4.532,19011+4152,KOI 663,AD   ,2012,2012,353,353,5,5,10.8,16.8,K   ,0.028,14.649,13.469,11.608,11.544,1.18,1.633,3.816,3.041,0.02,0.906,66
4446411,14.027,19 01 38.398,+39 31 42.13,285.40987,39.52831,5462,4.39,19016+3932,KOI6415,     ,2015,2015,48,48,1.8,1.8,14.4,15.5,R   ,0.097,14.543,13.955,12.5,0.737,2.567,2.043,0.032,0.81,203,6,22
7509886,13.283,19 01 45.398,+43 10 06.53,285.43912,43.16847,5073,4.174,19018+4310,KOI 678,     ,2014,2014,98,98,6,6,11.4,18.8,K   ,0.078,13.953,13.217,11.926,11.875,0.736,0.956,2.507,2.027,0.014,0.915,142
3832916,14.995,19 01 53.954,+38 59 38.15,285.47483,38.99392,5322,4.756,19018+3859,DEA 247,     ,1998,2013,14,13,10.7,10.6,16.2,17.8,V   ,0.092,15.577,14.929,13.708,13.669,0.648,0.832,2.392,1.869,0.052,0.75,479
7264685,13.033,19 02 04.229,+42 49 42.49,285.51762,42.82842,5208,4.471,19020+4249,DEA 393,     ,1999,2013,255,255,19.5,19.4,13.3,13.8,V   ,0.059,13.588,13.023,11.727,11.669,0.565,0.792,2.344,1.861,0.009,0.894,19
3323887,13.803,19 02 17.753,+38 24 03.24,285.57396,38.40089,5722,4.778,19023+3824,KOI 377,AB   ,2010,2010,38,38,2.8,2.9,13.8,20.9,R   ,0.073,14.247,13.731,12.71,12.67,0.516,0.634,1.911,1.537,0.03,0.841,5
3323887,13.803,19 02 17.753,+38 24 03.24,285.57396,38.40089,5722,4.778,19023+3824,KOI 377,AC   ,2010,2010,92,92,5.9,6,13.8,18.9,R   ,0.073,14.247,13.731,12.71,12.67,0.516,0.634,1.911,1.537,0.03,0.841,5
3323887,13.803,19 02 17.753,+38 24 03.24,285.57396,38.40089,5722,4.778,19023+3824,KOI 377,AD   ,2010,2010,222,222,8,8,12.3,19.2,K   ,0.073,14.247,13.731,12.71,12.67,0.516,0.634,1.911,1.537,0.03,0.841,5
5688683,13.435,19 02 45.600,+40 59 40.31,285.68996,40.99453,4216,4.701,19028+4100,KOI4097,     ,2013,2013,15,15,0.2,0.2,10.9,14.5,K   ,0.023,14.531,13.374,11.614,11.516,1.157,1.566,3.691,2.917,0.02,0.895,373
3217264,14.001,19 03 24.879,+38 23 02.83,285.85367,38.38411,5264,4.18,19034+3823,KOI 401,AB   ,2011,2012,270,268,1.9,2,13.75,16.35,R   ,0.108,14.635,13.941,12.694,12.746,0.694,0.906,2.452,1.941,0.038,0.853,122
6026737,13.313,19 03 30.187,+41 19 56.75,285.87579,41.33242,5923,4.009,19035+4120,KOI2949,     ,2013,2014,311,311,2.4,2.4,11.9,15.8,K   ,0.123,13.728,13.264,12.221,12.183,0.464,0.593,1.825,1.507,0.02,0.934,125
11600772,13.517,19 03 52.392,+49 41 38.08,285.96829,49.69389,4361,4.561,19038+4941,DEA 453,     ,2000,2013,284,283,31.8,31.9,13.9,16.1,V   ,0.032,14.492,13.442,11.743,11.788,1.05,1.392,3.421,2.749,0.022,0.913,293
5689351,14.194,19 03 59.973,+40 55 09.55,285.99987,40.91931,4985,4.242,19040+4055,KOI 505,     ,2014,2014,202,202,2,2,12.2,18.7,K   ,0.095,14.929,14.123,12.728,12.697,0.806,1.051,2.744,2.201,0.038,0.871,192
11804465,13.438,19 04 58.423,+50 02 25.37,286.24342,50.04039,6012,4.47,19050+5002,KOI  20,     ,2010,2010,140,140,5,5,13.44,22.2,R   ,0.088,13.782,13.374,12.406,12.376,0.408,0.492,1.716,1.376,0.021,0.915,450
3528802,14.973,19 05 18.165,+38 38 45.13,286.32562,38.64578,5081,4.733,19053+3838,DEA 178,     ,1998,2013,201,201,8.6,8.7,14.8,17.9,V   ,0.085,15.598,14.944,13.587,13.539,0.654,0.893,2.564,2.011,0.076,0.818,127
4995346,14.503,19 05 33.590,+40 11 30.12,286.38996,40.19169,5226,4.556,19055+4011,DEA 355,     ,1998,2013,244,244,16.1,16.1,14.7,15.2,V   ,0.09,15.101,14.451,13.175,13.159,0.65,0.854,2.419,1.926,0.063,0.849,120
3326377,14.443,19 06 13.939,+38 24 19.33,286.55804,38.40536,4926,4.493,19062+3824,KOI1830,     ,2013,2013,319,319,0.5,0.5,14.8,16.1,R   ,0.082,15.107,14.404,12.99,12.939,0.703,0.948,2.711,2.117,0.042,0.784,199
11181260,13.52,19 06 14.479,+48 53 34.98,286.56029,48.89306,6155,4.614,19062+4854,KOI4653,     ,2014,2014,324,324,0.8,0.8,13.8,15.8,R   ,0.085,13.838,13.452,12.555,12.503,0.386,0.455,1.583,1.283,0.026,0.911,148
3428359,13.528,19 06 43.805,+38 32 55.75,286.68246,38.54886,5921,3.782,19067+3832,DEA 138,     ,1998,2013,246,244,7.3,7.2,13.6,15,V   ,0.155,13.98,13.495,12.365,12.332,0.485,0.646,1.938,1.615,0.039,0.816,51
4820550,13.922,19 07 05.146,+39 59 01.75,286.77146,39.98383,5586,4.625,19071+3959,KOI3823,AB   ,2014,2014,58,58,2.3,2.3,13.92,19.5,K   ,0.083,14.399,13.864,12.769,,0.535,0.681,2.018,1.63,0.03,0.873,345
4820550,13.922,19 07 05.146,+39 59 01.75,286.77146,39.98383,5586,4.625,19071+3959,KOI3823,AC   ,2014,2014,239,239,5.1,5.1,13.92,19,K   ,0.083,14.399,13.864,12.769,,,0.681,2.018,1.63,0.03,0.873,345
